LapNumber,LapTime_seconds,Delta,Year,Circuit,Compound,Session,FreshTyre,Stint,TyreLife,Driver,Team,AirTemp,Humidity,Rainfall,TrackTemp
5.0,141.772,0.0,2025,Australian,INTERMEDIATE,R,False,4.0,5.0,HAM,Ferrari,15.8,76.0,True,19.0
6.0,140.418,-1.353999999999985,2025,Australian,INTERMEDIATE,R,False,4.0,6.0,HAM,Ferrari,15.8,76.0,False,19.0
7.0,127.498,-12.920000000000002,2025,Australian,INTERMEDIATE,R,False,4.0,7.0,HAM,Ferrari,15.8,75.0,False,19.0
8.0,98.311,-29.186999999999998,2025,Australian,INTERMEDIATE,R,False,4.0,8.0,HAM,Ferrari,15.9,75.0,False,19.1
9.0,96.242,-2.0690000000000026,2025,Australian,INTERMEDIATE,R,False,4.0,9.0,HAM,Ferrari,15.9,76.0,False,19.1
10.0,95.107,-1.1350000000000051,2025,Australian,INTERMEDIATE,R,False,4.0,10.0,HAM,Ferrari,15.9,74.0,False,19.1
11.0,94.299,-0.8079999999999927,2025,Australian,INTERMEDIATE,R,False,4.0,11.0,HAM,Ferrari,15.9,76.0,False,19.1
12.0,93.255,-1.0440000000000111,2025,Australian,INTERMEDIATE,R,False,4.0,12.0,HAM,Ferrari,16.0,74.0,False,19.1
13.0,93.017,-0.23799999999999955,2025,Australian,INTERMEDIATE,R,False,4.0,13.0,HAM,Ferrari,16.0,75.0,False,19.3
14.0,92.992,-0.024999999999991473,2025,Australian,INTERMEDIATE,R,False,4.0,14.0,HAM,Ferrari,16.0,75.0,False,19.3
15.0,92.763,-0.2289999999999992,2025,Australian,INTERMEDIATE,R,False,4.0,15.0,HAM,Ferrari,16.0,75.0,True,19.3
16.0,92.749,-0.014000000000010004,2025,Australian,INTERMEDIATE,R,False,4.0,16.0,HAM,Ferrari,16.0,75.0,False,19.3
17.0,92.83,0.08100000000000307,2025,Australian,INTERMEDIATE,R,False,4.0,17.0,HAM,Ferrari,16.0,74.0,True,19.3
