LapNumber,LapTime_seconds,Delta,Year,Circuit,Compound,Session,FreshTyre,Stint,TyreLife,Driver,Team,AirTemp,Humidity,Rainfall,TrackTemp
2.0,98.566,0.0,2025,Bahrain,MEDIUM,R,True,1.0,2.0,HAM,Ferrari,27.2,44.0,False,31.9
3.0,98.419,-0.14700000000000557,2025,Bahrain,MEDIUM,R,True,1.0,3.0,HAM,Ferrari,27.1,45.0,False,31.9
4.0,98.654,0.23499999999999943,2025,Bahrain,MEDIUM,R,True,1.0,4.0,HAM,Ferrari,27.1,45.0,False,31.9
5.0,99.465,0.811000000000007,2025,Bahrain,MEDIUM,R,True,1.0,5.0,HAM,Ferrari,27.0,46.0,False,31.6
6.0,99.104,-0.3610000000000042,2025,Bahrain,MEDIUM,R,True,1.0,6.0,HAM,Ferrari,27.0,46.0,False,31.8
7.0,99.279,0.17499999999999716,2025,Bahrain,MEDIUM,R,True,1.0,7.0,HAM,Ferrari,27.0,46.0,False,31.9
8.0,99.743,0.46399999999999864,2025,Bahrain,MEDIUM,R,True,1.0,8.0,HAM,Ferrari,27.0,46.0,False,32.0
9.0,100.945,1.2019999999999982,2025,Bahrain,MEDIUM,R,True,1.0,9.0,HAM,Ferrari,27.0,46.0,False,32.0
10.0,99.297,-1.6479999999999961,2025,Bahrain,MEDIUM,R,True,1.0,10.0,HAM,Ferrari,27.0,45.0,False,31.9
11.0,99.146,-0.15099999999999625,2025,Bahrain,MEDIUM,R,True,1.0,11.0,HAM,Ferrari,27.0,45.0,False,31.8
12.0,98.885,-0.2609999999999957,2025,Bahrain,MEDIUM,R,True,1.0,12.0,HAM,Ferrari,27.0,46.0,False,31.5
13.0,98.903,0.018000000000000682,2025,Bahrain,MEDIUM,R,True,1.0,13.0,HAM,Ferrari,26.9,46.0,False,31.9
14.0,99.127,0.22399999999998954,2025,Bahrain,MEDIUM,R,True,1.0,14.0,HAM,Ferrari,26.9,46.0,False,31.9
15.0,99.276,0.1490000000000009,2025,Bahrain,MEDIUM,R,True,1.0,15.0,HAM,Ferrari,26.9,46.0,False,31.7
16.0,99.486,0.21000000000000796,2025,Bahrain,MEDIUM,R,True,1.0,16.0,HAM,Ferrari,26.8,47.0,False,31.7
17.0,101.684,2.1979999999999933,2025,Bahrain,MEDIUM,R,True,1.0,17.0,HAM,Ferrari,26.8,47.0,False,31.4
18.0,117.887,0.0,2025,Bahrain,MEDIUM,R,True,2.0,1.0,HAM,Ferrari,26.8,48.0,False,31.1
19.0,96.798,-21.089,2025,Bahrain,MEDIUM,R,True,2.0,2.0,HAM,Ferrari,26.7,48.0,False,31.2
20.0,97.326,0.5279999999999916,2025,Bahrain,MEDIUM,R,True,2.0,3.0,HAM,Ferrari,26.7,48.0,False,31.1
21.0,98.43,1.1040000000000134,2025,Bahrain,MEDIUM,R,True,2.0,4.0,HAM,Ferrari,26.7,47.0,False,31.1
22.0,98.01,-0.4200000000000017,2025,Bahrain,MEDIUM,R,True,2.0,5.0,HAM,Ferrari,26.7,47.0,False,31.1
23.0,97.924,-0.08599999999999852,2025,Bahrain,MEDIUM,R,True,2.0,6.0,HAM,Ferrari,26.7,47.0,False,31.2
24.0,98.526,0.6019999999999897,2025,Bahrain,MEDIUM,R,True,2.0,7.0,HAM,Ferrari,26.8,47.0,False,31.2
25.0,97.663,-0.8629999999999995,2025,Bahrain,MEDIUM,R,True,2.0,8.0,HAM,Ferrari,26.7,46.0,False,31.1
26.0,97.385,-0.2779999999999916,2025,Bahrain,MEDIUM,R,True,2.0,9.0,HAM,Ferrari,26.7,46.0,False,31.1
27.0,97.695,0.30999999999998806,2025,Bahrain,MEDIUM,R,True,2.0,10.0,HAM,Ferrari,26.7,46.0,False,31.1
28.0,97.674,-0.020999999999986585,2025,Bahrain,MEDIUM,R,True,2.0,11.0,HAM,Ferrari,26.7,47.0,False,30.9
29.0,97.288,-0.3860000000000099,2025,Bahrain,MEDIUM,R,True,2.0,12.0,HAM,Ferrari,26.7,47.0,False,31.0
30.0,97.517,0.2289999999999992,2025,Bahrain,MEDIUM,R,True,2.0,13.0,HAM,Ferrari,26.7,47.0,False,31.0
31.0,97.598,0.08100000000000307,2025,Bahrain,MEDIUM,R,True,2.0,14.0,HAM,Ferrari,26.8,46.0,False,31.3
32.0,115.663,18.064999999999998,2025,Bahrain,MEDIUM,R,True,2.0,15.0,HAM,Ferrari,26.8,46.0,False,31.4
34.0,132.851,0.0,2025,Bahrain,HARD,R,True,3.0,2.0,HAM,Ferrari,26.8,46.0,False,30.8
35.0,143.064,10.212999999999994,2025,Bahrain,HARD,R,True,3.0,3.0,HAM,Ferrari,26.7,46.0,False,30.9
36.0,97.514,-45.55,2025,Bahrain,HARD,R,True,3.0,4.0,HAM,Ferrari,26.7,46.0,False,30.6
37.0,96.235,-1.2789999999999964,2025,Bahrain,HARD,R,True,3.0,5.0,HAM,Ferrari,26.7,46.0,False,31.0
38.0,97.198,0.9629999999999939,2025,Bahrain,HARD,R,True,3.0,6.0,HAM,Ferrari,26.7,46.0,False,30.9
39.0,96.32,-0.8780000000000001,2025,Bahrain,HARD,R,True,3.0,7.0,HAM,Ferrari,26.8,46.0,False,30.8
