LapNumber,LapTime_seconds,Delta,Year,Circuit,Compound,Session,FreshTyre,Stint,TyreLife,Driver,Team,AirTemp,Humidity,Rainfall,TrackTemp
2.0,98.172,0.0,2025,Chinese,MEDIUM,R,True,1.0,2.0,HAM,Ferrari,27.3,18.0,False,35.8
3.0,97.853,-0.3190000000000026,2025,Chinese,MEDIUM,R,True,1.0,3.0,HAM,Ferrari,27.4,18.0,False,35.6
4.0,98.087,0.23400000000000887,2025,Chinese,MEDIUM,R,True,1.0,4.0,HAM,Ferrari,27.3,18.0,False,35.1
5.0,97.802,-0.2849999999999966,2025,Chinese,MEDIUM,R,True,1.0,5.0,HAM,Ferrari,27.3,18.0,False,35.0
6.0,98.221,0.41899999999999693,2025,Chinese,MEDIUM,R,True,1.0,6.0,HAM,Ferrari,27.3,18.0,False,34.9
7.0,98.866,0.644999999999996,2025,Chinese,MEDIUM,R,True,1.0,7.0,HAM,Ferrari,27.3,18.0,False,35.0
8.0,98.652,-0.21399999999999864,2025,Chinese,MEDIUM,R,True,1.0,8.0,HAM,Ferrari,27.3,18.0,False,35.0
9.0,98.56,-0.09199999999999875,2025,Chinese,MEDIUM,R,True,1.0,9.0,HAM,Ferrari,27.4,18.0,False,35.4
10.0,98.566,0.006000000000000227,2025,Chinese,MEDIUM,R,True,1.0,10.0,HAM,Ferrari,27.5,18.0,False,35.3
11.0,98.505,-0.06100000000000705,2025,Chinese,MEDIUM,R,True,1.0,11.0,HAM,Ferrari,27.5,18.0,False,35.3
12.0,98.73,0.22500000000000853,2025,Chinese,MEDIUM,R,True,1.0,12.0,HAM,Ferrari,27.5,18.0,False,35.0
13.0,103.379,4.649000000000001,2025,Chinese,MEDIUM,R,True,1.0,13.0,HAM,Ferrari,27.6,18.0,False,34.5
14.0,115.737,0.0,2025,Chinese,HARD,R,True,2.0,1.0,HAM,Ferrari,27.5,18.0,False,34.4
15.0,97.695,-18.042,2025,Chinese,HARD,R,True,2.0,2.0,HAM,Ferrari,27.4,18.0,False,34.2
16.0,97.942,0.2469999999999999,2025,Chinese,HARD,R,True,2.0,3.0,HAM,Ferrari,27.2,18.0,False,34.0
17.0,97.531,-0.41099999999998715,2025,Chinese,HARD,R,True,2.0,4.0,HAM,Ferrari,27.2,18.0,False,33.9
18.0,97.834,0.30299999999999727,2025,Chinese,HARD,R,True,2.0,5.0,HAM,Ferrari,27.2,18.0,False,34.6
19.0,97.075,-0.7590000000000003,2025,Chinese,HARD,R,True,2.0,6.0,HAM,Ferrari,27.3,18.0,False,34.8
20.0,97.469,0.39399999999999125,2025,Chinese,HARD,R,True,2.0,7.0,HAM,Ferrari,27.3,19.0,False,34.8
21.0,99.319,1.8500000000000085,2025,Chinese,HARD,R,True,2.0,8.0,HAM,Ferrari,27.4,18.0,False,35.0
22.0,97.457,-1.862000000000009,2025,Chinese,HARD,R,True,2.0,9.0,HAM,Ferrari,27.4,18.0,False,35.3
23.0,97.3,-0.15699999999999648,2025,Chinese,HARD,R,True,2.0,10.0,HAM,Ferrari,27.4,18.0,False,35.6
24.0,97.197,-0.10299999999999443,2025,Chinese,HARD,R,True,2.0,11.0,HAM,Ferrari,27.4,19.0,False,35.6
25.0,97.504,0.30700000000000216,2025,Chinese,HARD,R,True,2.0,12.0,HAM,Ferrari,27.4,19.0,False,35.6
26.0,97.555,0.05100000000000193,2025,Chinese,HARD,R,True,2.0,13.0,HAM,Ferrari,27.4,19.0,False,35.4
27.0,97.41,-0.14500000000001023,2025,Chinese,HARD,R,True,2.0,14.0,HAM,Ferrari,27.5,19.0,False,35.0
28.0,96.989,-0.42099999999999227,2025,Chinese,HARD,R,True,2.0,15.0,HAM,Ferrari,27.5,19.0,False,34.7
29.0,97.23,0.24099999999999966,2025,Chinese,HARD,R,True,2.0,16.0,HAM,Ferrari,27.1,19.0,False,34.3
30.0,97.447,0.21699999999999875,2025,Chinese,HARD,R,True,2.0,17.0,HAM,Ferrari,27.0,19.0,False,33.9
31.0,97.482,0.03499999999999659,2025,Chinese,HARD,R,True,2.0,18.0,HAM,Ferrari,26.9,20.0,False,33.8
32.0,97.038,-0.4440000000000026,2025,Chinese,HARD,R,True,2.0,19.0,HAM,Ferrari,26.9,20.0,False,33.7
33.0,97.572,0.534000000000006,2025,Chinese,HARD,R,True,2.0,20.0,HAM,Ferrari,27.0,20.0,False,33.5
34.0,97.29,-0.2819999999999965,2025,Chinese,HARD,R,True,2.0,21.0,HAM,Ferrari,26.8,20.0,False,33.2
35.0,96.957,-0.3330000000000126,2025,Chinese,HARD,R,True,2.0,22.0,HAM,Ferrari,26.8,20.0,False,33.1
36.0,97.346,0.38900000000001,2025,Chinese,HARD,R,True,2.0,23.0,HAM,Ferrari,26.8,20.0,False,33.0
37.0,102.451,5.10499999999999,2025,Chinese,HARD,R,True,2.0,24.0,HAM,Ferrari,26.8,20.0,False,32.9
38.0,113.502,0.0,2025,Chinese,HARD,R,True,3.0,1.0,HAM,Ferrari,26.8,20.0,False,32.8
39.0,95.839,-17.662999999999997,2025,Chinese,HARD,R,True,3.0,2.0,HAM,Ferrari,26.8,20.0,False,32.7
40.0,95.487,-0.35200000000000387,2025,Chinese,HARD,R,True,3.0,3.0,HAM,Ferrari,26.8,20.0,False,32.6
41.0,95.069,-0.41799999999999216,2025,Chinese,HARD,R,True,3.0,4.0,HAM,Ferrari,26.8,21.0,False,32.4
42.0,95.569,0.5,2025,Chinese,HARD,R,True,3.0,5.0,HAM,Ferrari,26.8,21.0,False,32.3
43.0,95.526,-0.043000000000006366,2025,Chinese,HARD,R,True,3.0,6.0,HAM,Ferrari,26.8,21.0,False,32.2
44.0,95.862,0.3359999999999985,2025,Chinese,HARD,R,True,3.0,7.0,HAM,Ferrari,26.7,21.0,False,32.1
45.0,95.349,-0.512999999999991,2025,Chinese,HARD,R,True,3.0,8.0,HAM,Ferrari,26.7,20.0,False,32.1
46.0,95.533,0.1839999999999975,2025,Chinese,HARD,R,True,3.0,9.0,HAM,Ferrari,26.6,21.0,False,31.9
47.0,95.77,0.23699999999999477,2025,Chinese,HARD,R,True,3.0,10.0,HAM,Ferrari,26.6,21.0,False,31.8
48.0,95.26,-0.5099999999999909,2025,Chinese,HARD,R,True,3.0,11.0,HAM,Ferrari,26.5,21.0,False,31.7
49.0,95.077,-0.18300000000000693,2025,Chinese,HARD,R,True,3.0,12.0,HAM,Ferrari,26.5,21.0,False,31.7
50.0,95.244,0.1670000000000016,2025,Chinese,HARD,R,True,3.0,13.0,HAM,Ferrari,26.6,21.0,False,31.6
51.0,95.465,0.22100000000000364,2025,Chinese,HARD,R,True,3.0,14.0,HAM,Ferrari,26.6,21.0,False,31.5
52.0,95.211,-0.2540000000000049,2025,Chinese,HARD,R,True,3.0,15.0,HAM,Ferrari,26.6,21.0,False,31.4
53.0,95.462,0.2510000000000048,2025,Chinese,HARD,R,True,3.0,16.0,HAM,Ferrari,26.5,21.0,False,31.3
54.0,95.257,-0.2049999999999983,2025,Chinese,HARD,R,True,3.0,17.0,HAM,Ferrari,26.5,21.0,False,31.2
55.0,95.232,-0.025000000000005684,2025,Chinese,HARD,R,True,3.0,18.0,HAM,Ferrari,26.6,21.0,False,31.2
56.0,95.681,0.44899999999999807,2025,Chinese,HARD,R,True,3.0,19.0,HAM,Ferrari,26.5,21.0,False,30.8
2.0,98.184,0.0,2025,Chinese,MEDIUM,R,True,1.0,2.0,LEC,Ferrari,27.3,18.0,False,35.8
3.0,98.087,-0.0969999999999942,2025,Chinese,MEDIUM,R,True,1.0,3.0,LEC,Ferrari,27.4,18.0,False,35.6
4.0,97.648,-0.43900000000000716,2025,Chinese,MEDIUM,R,True,1.0,4.0,LEC,Ferrari,27.3,18.0,False,35.1
5.0,98.253,0.605000000000004,2025,Chinese,MEDIUM,R,True,1.0,5.0,LEC,Ferrari,27.3,18.0,False,35.0
6.0,98.286,0.03300000000000125,2025,Chinese,MEDIUM,R,True,1.0,6.0,LEC,Ferrari,27.3,18.0,False,34.9
7.0,98.458,0.17199999999999704,2025,Chinese,MEDIUM,R,True,1.0,7.0,LEC,Ferrari,27.3,18.0,False,35.0
8.0,98.478,0.01999999999999602,2025,Chinese,MEDIUM,R,True,1.0,8.0,LEC,Ferrari,27.3,18.0,False,35.0
9.0,98.592,0.11400000000000432,2025,Chinese,MEDIUM,R,True,1.0,9.0,LEC,Ferrari,27.4,18.0,False,35.4
10.0,98.561,-0.0309999999999917,2025,Chinese,MEDIUM,R,True,1.0,10.0,LEC,Ferrari,27.5,18.0,False,35.3
11.0,98.422,-0.13900000000001,2025,Chinese,MEDIUM,R,True,1.0,11.0,LEC,Ferrari,27.5,18.0,False,35.3
12.0,98.682,0.2600000000000051,2025,Chinese,MEDIUM,R,True,1.0,12.0,LEC,Ferrari,27.5,18.0,False,35.0
13.0,98.514,-0.16800000000000637,2025,Chinese,MEDIUM,R,True,1.0,13.0,LEC,Ferrari,27.6,18.0,False,34.5
14.0,98.112,-0.402000000000001,2025,Chinese,MEDIUM,R,True,1.0,14.0,LEC,Ferrari,27.5,18.0,False,34.4
15.0,102.863,4.751000000000005,2025,Chinese,MEDIUM,R,True,1.0,15.0,LEC,Ferrari,27.4,18.0,False,34.2
16.0,115.134,0.0,2025,Chinese,HARD,R,True,2.0,1.0,LEC,Ferrari,27.2,18.0,False,34.0
17.0,97.426,-17.708,2025,Chinese,HARD,R,True,2.0,2.0,LEC,Ferrari,27.2,18.0,False,33.9
18.0,98.38,0.9539999999999935,2025,Chinese,HARD,R,True,2.0,3.0,LEC,Ferrari,27.2,18.0,False,34.6
19.0,96.907,-1.472999999999999,2025,Chinese,HARD,R,True,2.0,4.0,LEC,Ferrari,27.3,18.0,False,34.8
20.0,97.299,0.3920000000000101,2025,Chinese,HARD,R,True,2.0,5.0,LEC,Ferrari,27.3,19.0,False,34.8
21.0,97.16,-0.13900000000001,2025,Chinese,HARD,R,True,2.0,6.0,LEC,Ferrari,27.4,18.0,False,35.0
22.0,96.975,-0.18500000000000227,2025,Chinese,HARD,R,True,2.0,7.0,LEC,Ferrari,27.4,18.0,False,35.3
23.0,97.212,0.23700000000000898,2025,Chinese,HARD,R,True,2.0,8.0,LEC,Ferrari,27.4,18.0,False,35.6
24.0,97.36,0.14799999999999613,2025,Chinese,HARD,R,True,2.0,9.0,LEC,Ferrari,27.4,19.0,False,35.6
25.0,96.901,-0.4590000000000032,2025,Chinese,HARD,R,True,2.0,10.0,LEC,Ferrari,27.4,19.0,False,35.6
26.0,97.364,0.46300000000000807,2025,Chinese,HARD,R,True,2.0,11.0,LEC,Ferrari,27.4,19.0,False,35.4
