LapNumber,LapTime_seconds,Delta,Year,Circuit,Compound,Session,FreshTyre,Stint,TyreLife,Driver,Team,AirTemp,Humidity,Rainfall,TrackTemp
2.0,95.275,0.0,2025,Japanese,HARD,R,True,1.0,2.0,HAM,Ferrari,14.3,77.0,False,21.0
3.0,94.254,-1.0210000000000008,2025,Japanese,HARD,R,True,1.0,3.0,HAM,Ferrari,14.2,77.0,False,20.8
4.0,94.147,-0.10699999999999932,2025,Japanese,HARD,R,True,1.0,4.0,HAM,Ferrari,14.2,77.0,False,20.9
5.0,93.82,-0.3270000000000124,2025,Japanese,HARD,R,True,1.0,5.0,HAM,Ferrari,14.3,77.0,False,20.7
6.0,93.941,0.12100000000000932,2025,Japanese,HARD,R,True,1.0,6.0,HAM,Ferrari,14.2,77.0,False,20.6
7.0,94.139,0.1979999999999933,2025,Japanese,HARD,R,True,1.0,7.0,HAM,Ferrari,14.3,78.0,False,20.6
8.0,93.912,-0.22699999999998965,2025,Japanese,HARD,R,True,1.0,8.0,HAM,Ferrari,14.3,78.0,False,20.6
9.0,93.812,-0.10000000000000853,2025,Japanese,HARD,R,True,1.0,9.0,HAM,Ferrari,14.3,78.0,False,20.6
10.0,93.522,-0.28999999999999204,2025,Japanese,HARD,R,True,1.0,10.0,HAM,Ferrari,14.3,78.0,False,20.7
11.0,93.956,0.4339999999999975,2025,Japanese,HARD,R,True,1.0,11.0,HAM,Ferrari,14.3,78.0,False,20.6
12.0,94.033,0.07699999999999818,2025,Japanese,HARD,R,True,1.0,12.0,HAM,Ferrari,14.3,78.0,False,20.2
13.0,93.926,-0.10699999999999932,2025,Japanese,HARD,R,True,1.0,13.0,HAM,Ferrari,14.3,78.0,False,20.4
14.0,93.985,0.0589999999999975,2025,Japanese,HARD,R,True,1.0,14.0,HAM,Ferrari,14.3,78.0,False,20.4
15.0,93.888,-0.0969999999999942,2025,Japanese,HARD,R,True,1.0,15.0,HAM,Ferrari,14.3,78.0,False,20.4
16.0,94.068,0.1799999999999926,2025,Japanese,HARD,R,True,1.0,16.0,HAM,Ferrari,14.4,77.0,False,20.3
17.0,93.76,-0.3079999999999927,2025,Japanese,HARD,R,True,1.0,17.0,HAM,Ferrari,14.5,76.0,False,20.1
18.0,94.034,0.2740000000000009,2025,Japanese,HARD,R,True,1.0,18.0,HAM,Ferrari,14.4,76.0,False,20.0
19.0,94.077,0.042999999999992156,2025,Japanese,HARD,R,True,1.0,19.0,HAM,Ferrari,14.4,77.0,False,20.0
20.0,93.747,-0.3299999999999983,2025,Japanese,HARD,R,True,1.0,20.0,HAM,Ferrari,14.4,77.0,False,20.1
21.0,93.729,-0.018000000000000682,2025,Japanese,HARD,R,True,1.0,21.0,HAM,Ferrari,14.5,77.0,False,20.0
22.0,93.698,-0.03100000000000591,2025,Japanese,HARD,R,True,1.0,22.0,HAM,Ferrari,14.4,77.0,False,20.0
23.0,93.177,-0.5209999999999866,2025,Japanese,HARD,R,True,1.0,23.0,HAM,Ferrari,14.4,77.0,False,20.0
24.0,93.548,0.3709999999999951,2025,Japanese,HARD,R,True,1.0,24.0,HAM,Ferrari,14.5,77.0,False,20.0
25.0,93.387,-0.16100000000000136,2025,Japanese,HARD,R,True,1.0,25.0,HAM,Ferrari,14.5,77.0,False,19.7
26.0,93.204,-0.18300000000000693,2025,Japanese,HARD,R,True,1.0,26.0,HAM,Ferrari,14.4,77.0,False,19.6
27.0,93.152,-0.0519999999999925,2025,Japanese,HARD,R,True,1.0,27.0,HAM,Ferrari,14.4,78.0,False,19.6
28.0,93.04,-0.11199999999999477,2025,Japanese,HARD,R,True,1.0,28.0,HAM,Ferrari,14.4,78.0,False,19.4
