date,session_key,meeting_key,driver_number,pit_duration,lap_number
2024-03-02T15:06:11.115000+00:00,9472,1229,27,36.6,1
2024-03-02T15:19:05.235000+00:00,9472,1229,24,25.2,9
2024-03-02T15:19:07.623000+00:00,9472,1229,18,24.4,9
2024-03-02T15:20:46.058000+00:00,9472,1229,31,24.8,10
2024-03-02T15:21:55.789000+00:00,9472,1229,2,35.7,10
2024-03-02T15:22:03.605000+00:00,9472,1229,63,24.7,11
2024-03-02T15:22:06.457000+00:00,9472,1229,16,24.0,11
2024-03-02T15:22:22.107000+00:00,9472,1229,20,25.9,11
2024-03-02T15:23:41.972000+00:00,9472,1229,11,24.5,12
2024-03-02T15:23:50.520000+00:00,9472,1229,81,25.4,12
2024-03-02T15:23:52.389000+00:00,9472,1229,44,25.0,12
2024-03-02T15:24:09.090000+00:00,9472,1229,10,29.9,12
2024-03-02T15:24:09.531000+00:00,9472,1229,77,26.4,12
2024-03-02T15:25:25.101000+00:00,9472,1229,4,24.2,13
2024-03-02T15:25:42.894000+00:00,9472,1229,3,24.9,13
2024-03-02T15:26:57.817000+00:00,9472,1229,55,24.4,14
2024-03-02T15:27:13.176000+00:00,9472,1229,22,24.7,14
2024-03-02T15:28:49.395000+00:00,9472,1229,14,24.7,15
2024-03-02T15:28:54.348000+00:00,9472,1229,23,24.6,15
2024-03-02T15:31:37.825000+00:00,9472,1229,1,25.0,17
2024-03-02T15:37:33.888000+00:00,9472,1229,27,24.7,20
2024-03-02T15:48:50.340000+00:00,9472,1229,18,24.5,27
2024-03-02T15:50:25.427000+00:00,9472,1229,24,25.0,28
2024-03-02T15:51:59.543000+00:00,9472,1229,2,25.0,28
2024-03-02T15:53:55.836000+00:00,9472,1229,31,25.1,30
2024-03-02T15:54:47.117000+00:00,9472,1229,63,24.8,31
2024-03-02T15:54:47.631000+00:00,9472,1229,77,74.7,30
2024-03-02T15:55:37.993000+00:00,9472,1229,10,26.4,31
2024-03-02T15:57:02.477000+00:00,9472,1229,20,24.4,32
2024-03-02T15:58:04.902000+00:00,9472,1229,4,24.7,33
2024-03-02T15:58:10.632000+00:00,9472,1229,44,24.0,33
2024-03-02T15:59:38.514000+00:00,9472,1229,16,24.1,34
2024-03-02T15:59:45.850000+00:00,9472,1229,81,24.8,34
2024-03-02T16:00:12.070000+00:00,9472,1229,22,24.3,34
2024-03-02T16:01:02.991000+00:00,9472,1229,55,23.8,35
2024-03-02T16:01:59.612000+00:00,9472,1229,3,24.8,35
2024-03-02T16:02:37.212000+00:00,9472,1229,11,24.5,36
2024-03-02T16:03:35.177000+00:00,9472,1229,23,24.6,36
2024-03-02T16:03:54.529000+00:00,9472,1229,1,24.2,37
2024-03-02T16:11:23.921000+00:00,9472,1229,14,25.1,41
2024-03-02T16:11:47.875000+00:00,9472,1229,2,25.3,40
2024-03-02T16:11:54.741000+00:00,9472,1229,27,24.3,41
2024-03-02T16:15:21.252000+00:00,9472,1229,10,25.2,43
