date,session_key,driver_number,meeting_key,lap_number,pit_duration
2024-03-09T17:15:47.097000+00:00,9480,1,1230,7,20.6
2024-03-09T17:15:52.880000+00:00,9480,11,1230,7,22.1
2024-03-09T17:15:55.889000+00:00,9480,16,1230,7,23.4
2024-03-09T17:15:58.220000+00:00,9480,81,1230,7,21.4
2024-03-09T17:15:59.780000+00:00,9480,14,1230,7,22.1
2024-03-09T17:16:04.281000+00:00,9480,63,1230,7,21.0
2024-03-09T17:16:13.313000+00:00,9480,22,1230,7,21.6
2024-03-09T17:16:14.973000+00:00,9480,20,1230,7,21.4
2024-03-09T17:16:14.973000+00:00,9480,38,1230,7,22.4
2024-03-09T17:16:15.932000+00:00,9480,23,1230,7,21.7
2024-03-09T17:16:22.416000+00:00,9480,31,1230,7,22.5
2024-03-09T17:16:23.903000+00:00,9480,77,1230,7,22.7
2024-03-09T17:16:26.084000+00:00,9480,2,1230,7,23.6
2024-03-09T17:17:01.115000+00:00,9480,3,1230,7,63.3
2024-03-09T17:59:43.237000+00:00,9480,27,1230,33,21.0
2024-03-09T18:03:22.747000+00:00,9480,77,1230,35,23.2
2024-03-09T18:03:59.429000+00:00,9480,44,1230,36,20.1
2024-03-09T18:05:31.365000+00:00,9480,4,1230,37,22.2
2024-03-09T18:12:50.460000+00:00,9480,24,1230,41,46.3
